locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHKAFJI_01484	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
MBHKAFJI_01485	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
MBHKAFJI_01486	CDS	2223	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
MBHKAFJI_01487	CDS	579	rsxB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
MBHKAFJI_01488	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
MBHKAFJI_01489	CDS	441	ydgK			Inner membrane protein YdgK
MBHKAFJI_01490	CDS	216	cnu			OriC-binding nucleoid-associated protein
MBHKAFJI_01491	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
MBHKAFJI_01492	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
MBHKAFJI_01493	CDS	1173	malY		COG1168	Protein MalY
MBHKAFJI_01494	CDS	1593	malX		COG1263	PTS system maltose-specific EIICB component
MBHKAFJI_01495	CDS	1029	malI		COG1609	Maltose regulon regulatory protein MalI
MBHKAFJI_01496	CDS	768	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
MBHKAFJI_01497	CDS	579	betI_2			HTH-type transcriptional regulator BetI
MBHKAFJI_01498	CDS	1812	uidA	3.2.1.31	COG3250	Beta-glucuronidase
MBHKAFJI_01499	CDS	1374	uidB		COG2211	Glucuronide carrier protein
MBHKAFJI_01500	CDS	1266	uidC			Membrane-associated protein UidC
MBHKAFJI_01501	CDS	1509	ydgA_1		COG5339	Protein YdgA
MBHKAFJI_01502	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
MBHKAFJI_01503	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
MBHKAFJI_01504	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
MBHKAFJI_01505	CDS	930	tus			DNA replication terminus site-binding protein
MBHKAFJI_01506	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
MBHKAFJI_01507	CDS	720	rstA		COG0745	Transcriptional regulatory protein RstA
MBHKAFJI_01508	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
MBHKAFJI_01509	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
MBHKAFJI_01510	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
MBHKAFJI_01511	CDS	945	ydgH			Protein YdgH
MBHKAFJI_01512	CDS	1533	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
MBHKAFJI_01513	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
MBHKAFJI_01514	CDS	876	tqsA_1		COG0628	AI-2 transport protein TqsA
MBHKAFJI_01515	CDS	1218	intA_3		COG0582	Prophage integrase IntA
MBHKAFJI_01516	CDS	306				hypothetical protein
MBHKAFJI_01517	CDS	198				hypothetical protein
MBHKAFJI_01518	CDS	465				hypothetical protein
MBHKAFJI_01519	CDS	219				hypothetical protein
MBHKAFJI_01520	CDS	438				hypothetical protein
MBHKAFJI_01521	CDS	234				hypothetical protein
MBHKAFJI_01522	CDS	300				hypothetical protein
MBHKAFJI_01523	CDS	1755				hypothetical protein
MBHKAFJI_01524	CDS	315				hypothetical protein
MBHKAFJI_01525	CDS	306				hypothetical protein
MBHKAFJI_01526	CDS	411				Single-stranded DNA-binding protein
MBHKAFJI_01527	CDS	273				hypothetical protein
MBHKAFJI_01528	CDS	225				hypothetical protein
MBHKAFJI_01529	CDS	1068				hypothetical protein
MBHKAFJI_01530	CDS	264	rpsT		COG0268	30S ribosomal protein S20
MBHKAFJI_01531	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
MBHKAFJI_01532	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MBHKAFJI_01533	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
MBHKAFJI_01534	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
MBHKAFJI_01535	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MBHKAFJI_01536	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
MBHKAFJI_01537	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MBHKAFJI_01538	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
MBHKAFJI_01539	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
MBHKAFJI_01540	CDS	219				hypothetical protein
MBHKAFJI_01541	CDS	396				hypothetical protein
MBHKAFJI_01542	CDS	591	yrdA_1		COG0663	Protein YrdA
MBHKAFJI_01543	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
MBHKAFJI_01544	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
MBHKAFJI_01545	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
MBHKAFJI_01546	CDS	1143	caiA_2	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
MBHKAFJI_01547	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
MBHKAFJI_01548	CDS	771	fixA_2		COG2086	Protein FixA
MBHKAFJI_01549	CDS	942	fixB_2		COG2025	Protein FixB
MBHKAFJI_01550	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
MBHKAFJI_01551	CDS	288	fixX_2		COG2440	Ferredoxin-like protein FixX
MBHKAFJI_01552	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
MBHKAFJI_01553	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
MBHKAFJI_01554	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
MBHKAFJI_01555	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
MBHKAFJI_01556	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
MBHKAFJI_01557	CDS	378	apaG		COG2967	Protein ApaG
MBHKAFJI_01558	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MBHKAFJI_01559	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
MBHKAFJI_01560	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
MBHKAFJI_01561	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
MBHKAFJI_01562	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
MBHKAFJI_01563	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
MBHKAFJI_01564	CDS	2907	rapA_2	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
MBHKAFJI_01565	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
MBHKAFJI_01566	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
MBHKAFJI_01567	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
MBHKAFJI_01568	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
MBHKAFJI_01569	CDS	879	araC			Arabinose operon regulatory protein
MBHKAFJI_01570	CDS	765	yabI		COG0586	Inner membrane protein YabI
MBHKAFJI_01571	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
MBHKAFJI_01572	CDS	1611				hypothetical protein
MBHKAFJI_01573	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
MBHKAFJI_01574	CDS	1656	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
MBHKAFJI_01575	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
MBHKAFJI_01576	CDS	1179	setA			Sugar efflux transporter A
MBHKAFJI_01577	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
MBHKAFJI_01578	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
MBHKAFJI_01579	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
MBHKAFJI_01580	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
MBHKAFJI_01581	CDS	945	leuO			HTH-type transcriptional regulator LeuO
MBHKAFJI_01582	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MBHKAFJI_01583	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MBHKAFJI_01584	CDS	1005	cra		COG1609	Catabolite repressor/activator
MBHKAFJI_01585	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
MBHKAFJI_01586	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MBHKAFJI_01587	CDS	366	ftsL		COG3116	Cell division protein FtsL
MBHKAFJI_01588	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
MBHKAFJI_01589	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MBHKAFJI_01590	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MBHKAFJI_01591	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MBHKAFJI_01592	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
MBHKAFJI_01593	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
MBHKAFJI_01594	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MBHKAFJI_01595	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
MBHKAFJI_01596	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
MBHKAFJI_01597	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
MBHKAFJI_01598	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
MBHKAFJI_01599	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
MBHKAFJI_01600	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
MBHKAFJI_01601	CDS	588	secM			Secretion monitor
MBHKAFJI_01602	CDS	2706	secA		COG0653	Protein translocase subunit SecA
MBHKAFJI_01603	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
MBHKAFJI_01604	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
MBHKAFJI_01605	CDS	744	zapD		COG4582	Cell division protein ZapD
MBHKAFJI_01606	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
MBHKAFJI_01607	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
MBHKAFJI_01608	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
MBHKAFJI_01609	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
MBHKAFJI_01610	CDS	441				hypothetical protein
MBHKAFJI_01611	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MBHKAFJI_01612	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
MBHKAFJI_01613	CDS	855	ampE		COG3725	Protein AmpE
MBHKAFJI_01614	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
MBHKAFJI_01615	CDS	765	pdhR_2		COG2186	Pyruvate dehydrogenase complex repressor
MBHKAFJI_01616	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
MBHKAFJI_01617	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MBHKAFJI_01618	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MBHKAFJI_01619	CDS	1758				hypothetical protein
MBHKAFJI_01620	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
MBHKAFJI_01621	CDS	363				hypothetical protein
MBHKAFJI_01622	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
MBHKAFJI_01623	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
MBHKAFJI_01624	CDS	309				hypothetical protein
MBHKAFJI_01625	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
MBHKAFJI_01626	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
MBHKAFJI_01627	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
MBHKAFJI_01628	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
MBHKAFJI_01629	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
MBHKAFJI_01630	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
MBHKAFJI_01631	CDS	441	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
MBHKAFJI_01632	CDS	1230				hypothetical protein
MBHKAFJI_01633	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
MBHKAFJI_01634	CDS	903				ISNCY family transposase ISRor2
MBHKAFJI_01635	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
MBHKAFJI_01636	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
MBHKAFJI_01637	CDS	1275	yadC			putative fimbrial-like protein YadC
MBHKAFJI_01638	CDS	597	yadK			putative fimbrial-like protein YadK
MBHKAFJI_01639	CDS	603	yadL			putative fimbrial-like protein YadL
MBHKAFJI_01640	CDS	570	yadM			putative fimbrial-like protein YadM
MBHKAFJI_01641	CDS	2601	htrE		COG3188	Outer membrane usher protein HtrE
MBHKAFJI_01642	CDS	741	yadV			putative fimbrial chaperone YadV
MBHKAFJI_01643	CDS	585	yadN			putative fimbrial-like protein YadN
MBHKAFJI_01644	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MBHKAFJI_01645	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
MBHKAFJI_01646	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
MBHKAFJI_01647	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
MBHKAFJI_01648	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
MBHKAFJI_01649	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
MBHKAFJI_01650	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
MBHKAFJI_01651	CDS	2535	mrcB		COG0744	Penicillin-binding protein 1B
MBHKAFJI_01652	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
MBHKAFJI_01653	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
MBHKAFJI_01654	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
MBHKAFJI_01655	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
MBHKAFJI_01656	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
MBHKAFJI_01657	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
MBHKAFJI_01658	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
MBHKAFJI_01659	CDS	624				hypothetical protein
MBHKAFJI_01660	CDS	801	btuF		COG0614	Vitamin B12-binding protein
MBHKAFJI_01661	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
MBHKAFJI_01662	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
MBHKAFJI_01663	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
MBHKAFJI_01664	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
MBHKAFJI_01665	CDS	387				hypothetical protein
MBHKAFJI_01666	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
MBHKAFJI_01667	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
MBHKAFJI_01668	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
MBHKAFJI_01669	CDS	726	rpsB		COG0052	30S ribosomal protein S2
MBHKAFJI_01670	CDS	852	tsf		COG0264	Elongation factor Ts
MBHKAFJI_01671	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
MBHKAFJI_01672	CDS	558	frr		COG0233	Ribosome-recycling factor
MBHKAFJI_01673	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
MBHKAFJI_01674	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
MBHKAFJI_01675	CDS	153				hypothetical protein
MBHKAFJI_01676	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
MBHKAFJI_01677	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
MBHKAFJI_01678	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
MBHKAFJI_01679	CDS	486	skp		COG2825	Chaperone protein Skp
MBHKAFJI_01680	CDS	1026	lpxD_1	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
MBHKAFJI_01681	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
MBHKAFJI_01682	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
MBHKAFJI_01683	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MBHKAFJI_01684	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MBHKAFJI_01685	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
MBHKAFJI_01686	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
MBHKAFJI_01687	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
MBHKAFJI_01688	CDS	390	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
MBHKAFJI_01689	CDS	1299	tilS_1	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
MBHKAFJI_01690	CDS	261	rof		COG4568	Protein rof
MBHKAFJI_01691	CDS	201				hypothetical protein
MBHKAFJI_01692	CDS	546	yaeQ		COG4681	putative protein YaeQ
MBHKAFJI_01693	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
MBHKAFJI_01694	CDS	711	nlpE		COG3015	Lipoprotein NlpE
MBHKAFJI_01695	CDS	582				hypothetical protein
MBHKAFJI_01696	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
MBHKAFJI_01697	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
MBHKAFJI_01698	CDS	405	rcsF			Outer membrane lipoprotein RcsF
MBHKAFJI_01699	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
MBHKAFJI_01700	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
MBHKAFJI_01701	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MBHKAFJI_01702	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
MBHKAFJI_01703	CDS	132	gadB_1	4.1.1.15	COG0076	Glutamate decarboxylase beta
MBHKAFJI_01704	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
MBHKAFJI_01705	CDS	729	gadW_1			HTH-type transcriptional regulator GadW
MBHKAFJI_01706	CDS	282				hypothetical protein
MBHKAFJI_01707	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
MBHKAFJI_01708	CDS	1158	mdtE			Multidrug resistance protein MdtE
MBHKAFJI_01709	CDS	279				hypothetical protein
MBHKAFJI_01710	CDS	528	gadE			Transcriptional regulator GadE
MBHKAFJI_01711	CDS	573	hdeD		COG3247	Protein HdeD
MBHKAFJI_01712	CDS	333	hdeA			Acid stress chaperone HdeA
MBHKAFJI_01713	CDS	339	hdeB			Acid stress chaperone HdeB
MBHKAFJI_01714	CDS	576	sapB_2		COG1285	Protein SapB
MBHKAFJI_01715	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
MBHKAFJI_01716	CDS	567	slp_1		COG3065	Outer membrane protein Slp
MBHKAFJI_01717	CDS	846				hypothetical protein
MBHKAFJI_01718	CDS	1002				hypothetical protein
MBHKAFJI_01719	CDS	297	ygaV_1		COG0640	putative HTH-type transcriptional regulator YgaV
MBHKAFJI_01720	CDS	426	arsC	1.20.4.1		Arsenate reductase
MBHKAFJI_01721	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
MBHKAFJI_01722	CDS	354				hypothetical protein
MBHKAFJI_01723	CDS	174				hypothetical protein
MBHKAFJI_01724	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
MBHKAFJI_01725	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
MBHKAFJI_01726	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
MBHKAFJI_01727	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
MBHKAFJI_01728	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
MBHKAFJI_01729	CDS	435	uspA		COG0589	Universal stress protein A
MBHKAFJI_01730	CDS	336	uspB			Universal stress protein B
MBHKAFJI_01731	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
MBHKAFJI_01732	CDS	1203			COG2081	putative protein
MBHKAFJI_01733	CDS	1053	yhiM			Inner membrane protein YhiM
MBHKAFJI_01734	CDS	936				hypothetical protein
MBHKAFJI_01735	CDS	372				hypothetical protein
MBHKAFJI_01736	CDS	1623				hypothetical protein
MBHKAFJI_01737	CDS	1068	aaeA_3			p-hydroxybenzoic acid efflux pump subunit AaeA
MBHKAFJI_01738	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
MBHKAFJI_01739	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
MBHKAFJI_01740	CDS	276				hypothetical protein
MBHKAFJI_01741	CDS	360				hypothetical protein
MBHKAFJI_01742	CDS	861	kbaY_2	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
MBHKAFJI_01743	CDS	270	ptsH_1		COG1925	Phosphocarrier protein HPr
MBHKAFJI_01744	CDS	1509	xylB_1	2.7.1.17		Xylulose kinase
MBHKAFJI_01745	CDS	1359	gatC_2		COG3775	PTS system galactitol-specific EIIC component
MBHKAFJI_01746	CDS	282	gatB_2	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
MBHKAFJI_01747	CDS	474				hypothetical protein
MBHKAFJI_01748	CDS	747	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MBHKAFJI_01749	CDS	402	nikR		COG0864	Nickel-responsive regulator
MBHKAFJI_01750	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
MBHKAFJI_01751	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
MBHKAFJI_01752	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
MBHKAFJI_01753	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
MBHKAFJI_01754	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
MBHKAFJI_01755	CDS	588				hypothetical protein
MBHKAFJI_01756	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
MBHKAFJI_01757	CDS	1218	yhhS			putative MFS-type transporter YhhS
MBHKAFJI_01758	CDS	558				hypothetical protein
MBHKAFJI_01759	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
MBHKAFJI_01760	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
MBHKAFJI_01761	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
MBHKAFJI_01762	CDS	627				hypothetical protein
MBHKAFJI_01763	CDS	360				hypothetical protein
MBHKAFJI_01764	CDS	270				hypothetical protein
MBHKAFJI_01765	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
MBHKAFJI_01766	CDS	1494	ftsY		COG0552	Signal recognition particle receptor FtsY
MBHKAFJI_01767	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
MBHKAFJI_01768	CDS	1059	ftsX		COG2177	Cell division protein FtsX
MBHKAFJI_01769	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
MBHKAFJI_01770	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
MBHKAFJI_01771	CDS	384	panZ			PanD regulatory factor
MBHKAFJI_01772	CDS	1110	livK		COG0683	Leucine-specific-binding protein
MBHKAFJI_01773	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
MBHKAFJI_01774	CDS	1278				hypothetical protein
MBHKAFJI_01775	CDS	768	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
MBHKAFJI_01776	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
MBHKAFJI_01777	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
MBHKAFJI_01778	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
MBHKAFJI_01779	CDS	846				hypothetical protein
MBHKAFJI_01780	CDS	1071	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
MBHKAFJI_01781	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
MBHKAFJI_01782	CDS	441	yhhA			putative protein YhhA
MBHKAFJI_01783	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
MBHKAFJI_01784	CDS	285				hypothetical protein
MBHKAFJI_01785	CDS	495				hypothetical protein
MBHKAFJI_01786	CDS	1179				hypothetical protein
MBHKAFJI_01787	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
MBHKAFJI_01788	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
MBHKAFJI_01789	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
MBHKAFJI_01790	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
MBHKAFJI_01791	CDS	528	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
